"","seqnames","start","end","width","strand","L","area","beta","stat","pval","qval","index.start","index.end","index.width","g1_mean","g2_mean","delta","RL3061","RL3062","RL3063","RL3064","RL3065","RL3066","RL3067","RL3068","RL3069","RL3070","RL3071","RL3072","significant"
"13","chr9",1044271,1049559,5289,"*",209,32.6279530942676,0.454225536944779,12.0474993894359,6.85744066599464e-06,0.00127504154834816,12923430,12923638,209,0.27725821364141,0.110338423309586,0.166919790331824,0.272781417510423,0.207498715973292,0.120081411126187,0.191093573844419,0.632069608452455,0.240024554941682,0.0932475884244373,0.146518105849582,0.110397196261682,0.172503242542153,0.0675,0.071864406779661,FALSE
"14","chr13",25080980,25081459,480,"*",43,14.0237255368235,0.846209384475028,11.5806121236214,6.85744066599464e-06,0.00127504154834816,17881094,17881136,43,0.917751861968348,0.587431814101074,0.330320047867274,0.932835820895522,0.916149068322981,0.931558935361217,0.859016393442623,0.937238493723849,0.929712460063898,0.465703971119134,0.684210526315789,0.677725118483412,0.41743119266055,0.681159420289855,0.598360655737705,TRUE
"15","chr16",6910970,6911784,815,"*",13,3.01027951646269,-0.698302696652219,-11.3375013423156,6.85744066599464e-06,0.00127504154834816,20394755,20394767,13,0.141597903797359,0.389813654706767,-0.248215750909408,0.105691056910569,0.181208053691275,0.166666666666667,0.145038167938931,0.121951219512195,0.129032258064516,0.253968253968254,0.517241379310345,0.372781065088757,0.201438848920863,0.526785714285714,0.466666666666667,TRUE
"16","chr4",138341186,138342339,1154,"*",50,14.9088671021162,0.741569187759905,11.2907310494756,6.85744066599464e-06,0.00127504154834816,6877759,6877808,50,0.686739286531597,0.357191466702538,0.329547819829059,0.742671009771987,0.526436781609195,0.739299610894942,0.695522388059701,0.624505928853755,0.792,0.308139534883721,0.365781710914454,0.371601208459215,0.422988505747126,0.325373134328358,0.349264705882353,TRUE
"17","chr10",133110289,133111467,1179,"*",87,12.0499469172843,-0.430869018421613,-11.2687467842669,6.85744066599464e-06,0.00127504154834816,15258731,15258817,87,0.108391095183921,0.254942433639029,-0.146551338455108,0.112676056338028,0.100238663484487,0.0980769230769231,0.125356125356125,0.108050847457627,0.105947955390335,0.198003327787022,0.270642201834862,0.186968838526912,0.304461942257218,0.25201072386059,0.317567567567568,FALSE
"18","chr22",48970903,48972793,1891,"*",203,46.5735743555996,-0.613115825322307,-11.1984937133721,6.85744066599464e-06,0.00127504154834816,25603133,25603335,203,0.308127884422393,0.540086640897574,-0.231958756475181,0.0744985673352436,0.471620227038184,0.176528599605523,0.517506404782237,0.0858505564387917,0.52276295133438,0.499177631578947,0.538592027141645,0.593548387096774,0.501824817518248,0.601286173633441,0.50609080841639,TRUE
"19","chr19",22444394,22444855,462,"*",34,10.8049122908166,-0.868284092550731,-10.9937971063706,6.85744066599464e-06,0.00127504154834816,23506839,23506872,34,0.302762515595099,0.673487531017264,-0.370725015422166,0.203571428571429,0.596610169491525,0.278350515463918,0.258620689655172,0.270833333333333,0.208588957055215,0.725490196078431,0.644444444444444,0.577868852459016,0.603703703703704,0.833333333333333,0.656084656084656,TRUE
"20","chr3",577562,578172,611,"*",39,5.97547208316231,-0.491816075614242,-10.9659459838113,6.85744066599464e-06,0.00127504154834816,4272830,4272868,39,0.134320035824143,0.305974928587828,-0.171654892763685,0.177884615384615,0.199074074074074,0.0920245398773006,0.127877237851662,0.0513833992094862,0.157676348547718,0.277591973244147,0.344398340248963,0.328358208955224,0.206896551724138,0.352678571428571,0.325925925925926,FALSE
"21","chr19",22805678,22806819,1142,"*",69,18.3237524203233,-0.715162011290731,-10.8558618044106,6.85744066599464e-06,0.00127504154834816,23510445,23510513,69,0.171556817343042,0.438438318785676,-0.266881501442634,0.0775,0.409448818897638,0.0703363914373089,0.143589743589744,0.24577861163227,0.082687338501292,0.433996383363472,0.432017543859649,0.472222222222222,0.359342915811088,0.483050847457627,0.45,TRUE
"22","chr21",23913097,23917578,4482,"*",36,6.0429808802464,0.42758505808005,10.787924242037,6.85744066599464e-06,0.00127504154834816,24820188,24820223,36,0.780575956758626,0.607547311872694,0.173028644885932,0.854679802955665,0.752,0.833802816901408,0.779342723004695,0.757894736842105,0.70573566084788,0.644699140401146,0.570048309178744,0.581717451523546,0.607317073170732,0.616966580976864,0.62453531598513,FALSE
"23","chr19",58668572,58669105,534,"*",47,12.2317586344242,0.712333057334852,10.6762985619343,6.85744066599464e-06,0.00127504154834816,24034619,24034665,47,0.866978235955577,0.599902010960766,0.267076224994811,0.894389438943894,0.88135593220339,0.876325088339223,0.875968992248062,0.821656050955414,0.852173913043478,0.519650655021834,0.447887323943662,0.698275862068966,0.528301886792453,0.763250883392226,0.642045454545455,TRUE
"24","chr21",24731067,24734476,3410,"*",19,3.56728893266283,0.550478526731073,10.6010995311225,6.85744066599464e-06,0.00127504154834816,24825201,24825219,19,0.706632290895342,0.479256608873766,0.227375682021576,0.786363636363636,0.682608695652174,0.769230769230769,0.663594470046083,0.715447154471545,0.622549019607843,0.476470588235294,0.507462686567164,0.537037037037037,0.50761421319797,0.46875,0.378205128205128,TRUE
"25","chr4",46125887,46127249,1363,"*",35,5.66000466635472,-0.504436825305489,-10.5718114441539,6.85744066599464e-06,0.00127504154834816,6298558,6298592,35,0.156551252182431,0.312769829946231,-0.156218577763801,0.145695364238411,0.172205438066465,0.0985401459854015,0.171140939597315,0.129793510324484,0.221932114882507,0.248927038626609,0.367272727272727,0.332075471698113,0.197026022304833,0.310756972111554,0.420560747663551,FALSE
"26","chr19",22715055,22716035,981,"*",46,16.6480975022755,-0.879225459823132,-10.4767611312998,6.85744066599464e-06,0.00127504154834816,23509469,23509514,46,0.23378247440673,0.607155223207898,-0.373372748801168,0.0766666666666667,0.573717948717949,0.137931034482759,0.193467336683417,0.320588235294118,0.100323624595469,0.652173913043478,0.613333333333333,0.483754512635379,0.558139534883721,0.727891156462585,0.607638888888889,TRUE
"27","chr19",22468917,22470090,1174,"*",46,20.0322100124504,-1.04390312903744,-10.4567096118775,6.85744066599464e-06,0.00127504154834816,23507039,23507084,46,0.197624708017772,0.633701101518164,-0.436076393500393,0.0898550724637681,0.57703081232493,0.196217494089835,0.0841836734693878,0.186781609195402,0.0516795865633075,0.64343163538874,0.656330749354005,0.498281786941581,0.56282722513089,0.776758409785933,0.664576802507837,TRUE
"28","chr19",22989457,22990650,1194,"*",83,22.3505191056995,-0.669213717382085,-10.4413096215874,6.85744066599464e-06,0.00127504154834816,23512441,23512523,83,0.374932453992112,0.644108950402546,-0.269176496410433,0.400423728813559,0.671451355661882,0.223735408560311,0.236139630390144,0.313432835820896,0.404411764705882,0.637820512820513,0.607011070110701,0.580645161290323,0.670886075949367,0.765116279069767,0.603174603174603,TRUE
"29","chr8",2585345,2585974,630,"*",58,8.10931044971177,-0.48925640857054,-10.4342531991344,6.85744066599464e-06,0.00127504154834816,11702036,11702093,58,0.0498535353080051,0.202801949815344,-0.152948414507339,0.0111731843575419,0.0732984293193717,0.0420168067226891,0.0191693290734824,0.0185950413223141,0.134868421052632,0.177383592017738,0.204022988505747,0.25130890052356,0.102040816326531,0.298657718120805,0.183397683397683,FALSE
"30","chr3",145051012,145051761,750,"*",41,16.624857904263,0.916490946274144,10.283393496378,6.85744066599464e-06,0.00127504154834816,5428823,5428863,41,0.779630779688843,0.410408862533795,0.369221917155048,0.885462555066079,0.672,0.740540540540541,0.734265734265734,0.802721088435374,0.842794759825327,0.262237762237762,0.318407960199005,0.673575129533679,0.377777777777778,0.41,0.420454545454545,TRUE
"31","chr8",4644623,4644919,297,"*",22,5.78057046155048,-0.673970361209427,-10.2794078020185,6.85744066599464e-06,0.00127504154834816,11723500,11723521,22,0.178079375139247,0.464461797885845,-0.286382422746598,0.119496855345912,0.162303664921466,0.240963855421687,0.141104294478528,0.159574468085106,0.245033112582781,0.541899441340782,0.28125,0.480392156862745,0.504901960784314,0.450549450549451,0.527777777777778,TRUE
"32","chr19",22397567,22398740,1174,"*",43,16.7949376346715,-0.884123674749144,-10.0828861563061,1.37148813319893e-05,0.00239553260598746,23506495,23506537,43,0.201380782454843,0.579329650216406,-0.377948867761562,0.0854092526690391,0.406716417910448,0.130081300813008,0.177248677248677,0.354166666666667,0.0546623794212219,0.465986394557823,0.727272727272727,0.483076923076923,0.507874015748031,0.630057803468208,0.661710037174721,TRUE
"33","chr12",130387144,130387725,582,"*",28,4.49745007364131,-0.540333693987334,-10.0827860350846,1.37148813319893e-05,0.00239553260598746,17745363,17745390,28,0.0626998668859134,0.243242411271336,-0.180542544385422,0.013953488372093,0.0844444444444444,0,0.0310077519379845,0.125581395348837,0.121212121212121,0.135135135135135,0.281767955801105,0.21078431372549,0.193370165745856,0.371428571428571,0.266968325791855,FALSE
"34","chr6",35898876,35899394,519,"*",36,10.7896577176366,0.741231978165055,9.93404762817033,2.05723219979839e-05,0.00348761364695233,9136953,9136988,36,0.606816991104183,0.297963885873179,0.308853105231005,0.645283018867924,0.478448275862069,0.653179190751445,0.699186991869919,0.5,0.664804469273743,0.427312775330396,0.253886010362694,0.343137254901961,0.321888412017167,0.193236714975845,0.248322147651007,TRUE
"35","chr6",14299991,14302791,2801,"*",66,14.7688712132267,0.592774580737757,9.80122536430713,3.42872033299732e-05,0.0054897622220546,8896421,8896486,66,0.462967606971514,0.227373542490952,0.235594064480562,0.514851485148515,0.368770764119601,0.422310756972112,0.614963503649635,0.384083044982699,0.472826086956522,0.257495590828924,0.157039711191336,0.181443298969072,0.363070539419087,0.18491921005386,0.220272904483431,TRUE
"36","chr8",2591090,2591483,394,"*",22,5.8507324558953,-0.713963115234692,-9.78617521972156,3.42872033299732e-05,0.0054897622220546,11702146,11702167,22,0.120238560834998,0.402714326086816,-0.282475765251818,0.0214285714285714,0.247191011235955,0.104395604395604,0.077720207253886,0.214285714285714,0.0564102564102564,0.358974358974359,0.28436018957346,0.403314917127072,0.380116959064327,0.559139784946237,0.430379746835443,TRUE
"37","chr12",130647598,130649265,1668,"*",131,23.8214509879695,-0.578354040217412,-9.63714889894273,4.80020846619625e-05,0.00697522729390466,17749818,17749948,131,0.144123007265448,0.360631162383404,-0.216508155117956,0.0582639714625446,0.0949227373068433,0.0671217292377702,0.0776914539400666,0.403550295857988,0.163187855787476,0.185831622176591,0.506361323155216,0.322072072072072,0.218037661050545,0.568452380952381,0.363031914893617,TRUE
"38","chr16",6532586,6533028,443,"*",20,2.93568064867061,-0.438431969767681,-9.590920192425,4.80020846619625e-05,0.00697522729390466,20390842,20390861,20,0.189291796474296,0.351383725686751,-0.162091929212455,0.155102040816327,0.225941422594142,0.175141242937853,0.170212765957447,0.23109243697479,0.178260869565217,0.270742358078603,0.464114832535885,0.301587301587302,0.325670498084291,0.425925925925926,0.320261437908497,FALSE
"39","chr4",171011760,171012815,1056,"*",43,15.1247797227162,0.837377103511415,9.56948504470565,4.80020846619625e-05,0.00697522729390466,7110377,7110419,43,0.639810152337207,0.276554646150458,0.363255506186749,0.627240143369176,0.418604651162791,0.778985507246377,0.683673469387755,0.551948051948052,0.778409090909091,0.274509803921569,0.22360248447205,0.415549597855228,0.197879858657244,0.225563909774436,0.322222222222222,TRUE
"40","chr12",126467949,126469484,1536,"*",53,14.9812933927956,-0.748304754690738,-9.42043258621284,5.48595253279571e-05,0.00697522729390466,17704261,17704313,53,0.0842382698931802,0.374820301163933,-0.290582031270752,0.0980392156862745,0.0666666666666667,0.029673590504451,0.0345911949685535,0.109792284866469,0.166666666666667,0.257534246575342,0.311046511627907,0.445427728613569,0.17741935483871,0.526881720430108,0.530612244897959,TRUE
"41","chr11",67387407,67389392,1986,"*",69,14.8410617516497,0.514125031268642,9.27784371009649,5.48595253279571e-05,0.00697522729390466,15947813,15947881,69,0.722235476272504,0.500863122268477,0.221372354004026,0.726141078838174,0.561119293078056,0.822916666666667,0.792811839323467,0.647492625368732,0.782931354359926,0.485265225933202,0.441538461538462,0.632231404958678,0.515260323159785,0.442105263157895,0.488778054862843,TRUE
"42","chr11",94382092,94385452,3361,"*",37,4.54422558931996,0.3222150755566,9.25171639281574,5.48595253279571e-05,0.00697522729390466,16198840,16198876,37,0.724321245674249,0.599379596509926,0.124941649164323,0.744318181818182,0.755844155844156,0.738095238095238,0.739240506329114,0.716577540106952,0.651851851851852,0.610591900311526,0.530456852791878,0.65028901734104,0.66747572815534,0.57183908045977,0.565625,FALSE
"43","chr12",128822007,128824024,2018,"*",30,5.35360349847224,-0.45086469074914,-9.24201663844782,5.48595253279571e-05,0.00697522729390466,17725945,17725974,30,0.318294430976122,0.514869615032573,-0.196575184056451,0.310861423220974,0.262626262626263,0.348920863309353,0.411184210526316,0.237012987012987,0.339160839160839,0.441767068273092,0.546153846153846,0.454935622317597,0.438661710037175,0.612244897959184,0.595454545454545,FALSE
"44","chr4",35526682,35527631,950,"*",31,6.8276497752239,-0.544980503187531,-9.19648078417756,6.17169659939517e-05,0.00697522729390466,6212351,6212381,31,0.27346470124652,0.525158173374784,-0.251693472128264,0.281553398058252,0.404761904761905,0.198067632850242,0.212996389891697,0.255639097744361,0.287769784172662,0.443579766536965,0.581749049429658,0.503875968992248,0.452471482889734,0.549019607843137,0.620253164556962,TRUE
"45","chr8",47528883,47529373,491,"*",39,11.2018554241353,-0.653391604064328,-9.18438116070088,6.17169659939517e-05,0.00697522729390466,12114090,12114128,39,0.242222914605047,0.521531178596468,-0.27930826399142,0.208695652173913,0.364016736401674,0.140425531914894,0.222641509433962,0.302040816326531,0.21551724137931,0.37914691943128,0.503937007874016,0.573170731707317,0.537634408602151,0.537688442211055,0.597609561752988,TRUE
"46","chr22",22472243,22472743,501,"*",53,11.7851740952735,0.53715578469307,9.09021684334354,6.17169659939517e-05,0.00697522729390466,25199264,25199316,53,0.533532349190555,0.308315397475596,0.22521695171496,0.407582938388626,0.56198347107438,0.521367521367521,0.542016806722689,0.560526315789474,0.607717041800643,0.394871794871795,0.242690058479532,0.354330708661417,0.286396181384248,0.235294117647059,0.336309523809524,TRUE
"47","chr19",22604225,22605315,1091,"*",44,15.8431203623843,-0.877011672857796,-9.06551323537826,6.17169659939517e-05,0.00697522729390466,23508217,23508260,44,0.210820184394394,0.58557047618916,-0.374750291794766,0.0393700787401575,0.596541786743516,0.173913043478261,0.130872483221477,0.192105263157895,0.132118451025057,0.563275434243176,0.536111111111111,0.510204081632653,0.585964912280702,0.746438746438746,0.571428571428571,TRUE
"48","chr20",54254072,54260980,6909,"*",43,6.00184037424369,0.362481349247948,9.04647077486588,6.17169659939517e-05,0.00697522729390466,24589281,24589323,43,0.840749431554097,0.697302991868969,0.143446439685128,0.827433628318584,0.863723608445297,0.841981132075472,0.837004405286344,0.813186813186813,0.861167002012072,0.738207547169811,0.57847533632287,0.693110647181628,0.689095127610209,0.75959595959596,0.725333333333333,FALSE
"49","chr20",41017659,41019520,1862,"*",16,3.43909174187591,0.519032246835856,9.02372609142282,6.17169659939517e-05,0.00697522729390466,24426467,24426482,16,0.812160471063068,0.598019673128018,0.21414079793505,0.842391304347826,0.853801169590643,0.810457516339869,0.788571428571429,0.769230769230769,0.808510638297872,0.6875,0.518987341772152,0.63125,0.560975609756098,0.577464788732394,0.611940298507463,TRUE
"50","chr10",133108784,133109337,554,"*",31,6.35772918526787,-0.574679272409864,-9.01592172098831,6.17169659939517e-05,0.00697522729390466,15258578,15258608,31,0.0801400817949637,0.316652059759578,-0.236511977964615,0.0316742081447964,0.0683760683760684,0.100346020761246,0.142857142857143,0.0553359683794466,0.0822510822510823,0.181818181818182,0.294117647058824,0.207070707070707,0.460093896713615,0.253456221198157,0.503355704697987,TRUE
"51","chr22",32601265,32601735,471,"*",23,5.62674164419797,0.748088078386869,8.98318199086093,6.17169659939517e-05,0.00697522729390466,25333025,25333047,23,0.574922458754174,0.265558535714056,0.309363923040119,0.717948717948718,0.353982300884956,0.517857142857143,0.663716814159292,0.580645161290323,0.615384615384615,0.247706422018349,0.267326732673267,0.278688524590164,0.368932038834951,0.217105263157895,0.213592233009709,TRUE
"52","chr6",1515567,1515875,309,"*",27,6.63981807842977,0.659301425848377,8.91546876853913,6.85744066599464e-05,0.00760120923053713,8756765,8756791,27,0.803508791658748,0.555648992047062,0.247859799611687,0.820276497695853,0.658450704225352,0.908163265306122,0.872611464968153,0.7578125,0.803738317757009,0.536121673003802,0.573333333333333,0.613259668508287,0.6,0.588957055214724,0.422222222222222,TRUE
"53","chr8",3390589,3393471,2883,"*",21,2.78329798771961,0.449531642075486,8.83963424955038,7.5431847325941e-05,0.00820356920729668,11710696,11710716,21,0.859919430059569,0.706793348742448,0.153126081317121,0.879227053140097,0.874458874458874,0.894977168949772,0.836538461538462,0.870967741935484,0.803347280334728,0.765258215962441,0.66530612244898,0.632558139534884,0.725225225225225,0.771689497716895,0.680722891566265,FALSE
"54","chr3",12810253,12810909,657,"*",36,10.974821141503,0.819497714889358,8.75252183189168,8.91467286579303e-05,0.00917574542829125,4383665,4383700,36,0.5832513683315,0.266729151631087,0.316522216700413,0.7117903930131,0.357142857142857,0.694915254237288,0.596958174904943,0.273722627737226,0.864978902953586,0.287037037037037,0.176811594202899,0.534782608695652,0.205128205128205,0.139130434782609,0.25748502994012,TRUE
"55","chr15",97034965,97035769,805,"*",51,13.2689338164607,0.568612298501321,8.74868399593387,8.91467286579303e-05,0.00917574542829125,20175362,20175412,51,0.455060511133793,0.201517674449253,0.25354283668454,0.37123745819398,0.378461538461538,0.421965317919075,0.381818181818182,0.580213903743315,0.596666666666667,0.204244031830239,0.198757763975155,0.235576923076923,0.141141141141141,0.219354838709677,0.210031347962382,TRUE
"56","chr2",130886364,130887822,1459,"*",28,7.58469626429672,0.654439816398287,8.72226659360794,8.91467286579303e-05,0.00917574542829125,3341183,3341210,28,0.817554544335405,0.536536722772536,0.28101782156287,0.85632183908046,0.744274809160305,0.869565217391304,0.793388429752066,0.751824817518248,0.889952153110048,0.586734693877551,0.527659574468085,0.556650246305419,0.651785714285714,0.423913043478261,0.472477064220183,TRUE
"57","chr2",207135362,207138775,3414,"*",53,8.12387569567984,0.374691097485967,8.68983288551496,9.60041693239249e-05,0.00970821108742287,3888939,3888991,53,0.701672220159661,0.561202829079898,0.140469391079762,0.65391621129326,0.588333333333333,0.776198934280639,0.71978021978022,0.809688581314879,0.662116040955631,0.609457092819615,0.501901140684411,0.592660550458716,0.587412587412587,0.530927835051546,0.544857768052516,FALSE
"58","chr20",44720321,44720805,485,"*",40,13.3950978404349,0.829455324943643,8.67313165257629,0.00010286160998992,0.0100490562708796,24470153,24470192,40,0.804183368985987,0.461287962621522,0.342895406364465,0.815384615384615,0.689419795221843,0.893470790378007,0.905537459283388,0.62,0.901287553648069,0.619760479041916,0.347328244274809,0.508928571428571,0.295238095238095,0.422077922077922,0.57439446366782,TRUE
"59","chr22",48885581,48887552,1972,"*",126,30.599743974061,-0.548567711928492,-8.66138905542414,0.00010286160998992,0.0100490562708796,25601020,25601145,126,0.355156206022301,0.58763183612764,-0.232475630105339,0.110429447852761,0.50196463654224,0.295774647887324,0.522686025408348,0.157837837837838,0.542244640605296,0.604426002766252,0.606461086637298,0.592020592020592,0.513513513513513,0.661268556005398,0.548101265822785,TRUE
"60","chr19",57350787,57352142,1356,"*",86,15.5779081539699,-0.499180025522893,-8.60674119792869,0.000116576491321909,0.0111991149329914,24014826,24014911,86,0.687436421078117,0.866264623015457,-0.17882820193734,0.444839857651246,0.856880733944954,0.795673076923077,0.723175965665236,0.623376623376623,0.680672268907563,0.915929203539823,0.825301204819277,0.844758064516129,0.85,0.877049180327869,0.884550084889643,FALSE
"61","chr20",54111276,54112492,1217,"*",11,1.91140946488705,0.513411110201676,8.55445385818079,0.000137148813319893,0.0129594386881289,24588280,24588290,11,0.817695622152171,0.596700044186448,0.220995577965723,0.852173913043478,0.841666666666667,0.823076923076923,0.844594594594595,0.722627737226277,0.822033898305085,0.63963963963964,0.61038961038961,0.534653465346535,0.611111111111111,0.592857142857143,0.591549295774648,TRUE
"62","chr11",94376735,94378251,1517,"*",39,5.0422620297785,0.381822210779907,8.53036054044611,0.000144006253985887,0.0133879362576557,16198767,16198805,39,0.810463886531394,0.673286539913148,0.137177346618246,0.817391304347826,0.827272727272727,0.800766283524904,0.858657243816254,0.83728813559322,0.721407624633431,0.730263157894737,0.638805970149254,0.678861788617886,0.735849056603774,0.633561643835616,0.622377622377622,FALSE
"63","chr20",54264037,54265632,1596,"*",16,2.75515604995441,0.473066886914241,8.47505984237462,0.000157721135317877,0.0144302321265435,24589360,24589375,16,0.828970698304493,0.634893656946647,0.194077041357846,0.804878048780488,0.875776397515528,0.766081871345029,0.866666666666667,0.876470588235294,0.783950617283951,0.655172413793103,0.594285714285714,0.635658914728682,0.662251655629139,0.643243243243243,0.61875,FALSE
"64","chr19",23185281,23186304,1024,"*",52,13.5514805603458,-0.698759106903304,-8.42767007284259,0.000171436016649866,0.0149720787874216,23514078,23514129,52,0.207133361119929,0.493886937168821,-0.286753576048892,0.11875,0.545893719806763,0.148351648351648,0.0918580375782881,0.231617647058824,0.106329113924051,0.413157894736842,0.652866242038217,0.437106918238994,0.488888888888889,0.56838905775076,0.402912621359223,TRUE
"65","chr6",67719758,67719993,236,"*",8,1.57539360792506,-0.612712405102401,-8.42361202563078,0.000171436016649866,0.0149720787874216,9366462,9366469,8,0.263296300497948,0.505781377654194,-0.242485077156246,0.236363636363636,0.320512820512821,0.298969072164948,0.285714285714286,0.209302325581395,0.228915662650602,0.426829268292683,0.493670886075949,0.575757575757576,0.527027027027027,0.45,0.56140350877193,TRUE
"66","chr12",130526640,130526986,347,"*",25,4.79154666040107,-0.583275429928831,-8.37154558868524,0.000171436016649866,0.0149720787874216,17747362,17747386,25,0.254913508983924,0.463943932100906,-0.209030423116983,0.278195488721804,0.268292682926829,0.248520710059172,0.232804232804233,0.206703910614525,0.294964028776978,0.409836065573771,0.490566037735849,0.458823529411765,0.305263157894737,0.557377049180328,0.561797752808989,TRUE
"67","chr20",54237154,54240591,3438,"*",24,3.031955831955,0.347218068185594,8.30669137269876,0.00019200833864785,0.0158105151995172,24589154,24589177,24,0.847766553455928,0.720325404575232,0.127441148880697,0.882352941176471,0.875,0.843137254901961,0.851851851851852,0.837209302325581,0.797047970479705,0.761467889908257,0.651639344262295,0.705128205128205,0.740425531914894,0.700404858299595,0.762886597938144,FALSE
"68","chr21",24403941,24404352,412,"*",5,1.2528636041976,0.68981860275896,8.29545859678997,0.00019200833864785,0.0158105151995172,24823331,24823335,5,0.740117696993645,0.461703464518895,0.27841423247475,0.790123456790123,0.651515151515151,0.815789473684211,0.843137254901961,0.65,0.690140845070423,0.390243902439024,0.405405405405405,0.44,0.454545454545455,0.551724137931034,0.528301886792453,TRUE
