BioSample	DATASTORE_provider	DATASTORE_region	Experiment	LoadDate	MBases	MBytes	Run	SRA_Sample	Sample_Name	cell_line	cell_type	source_name	Assay_Type	AvgSpotLen	BioProject	Center_Name	Consent	DATASTORE_filetype	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	SRA_Study
SAMN02438041	ncbi		SRX388463	2013-12-06	5199	3530	SRR1044676	SRS512350	GSM1282330	Parental	Fibroblast	Human Dermal Fibroblast	RNA-Seq	200	PRJNA230824	GEO	public	sra	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-07-08	SRP033569
SAMN02742684	sra-sos	sra-sos.public	SRX531145	2014-05-02	5551	3964	SRR1268166	SRS600313	GSM1378014	Nuclear Transfer Derived	Human Pluripotent Stem Cell	Nuclear Transfer Stem Cell	RNA-Seq	200	PRJNA230824	GEO	public	sra	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-07-08	SRP033569
SAMN02742686	ncbi		SRX531146	2014-05-02	3513	2512	SRR1268167	SRS600314	GSM1378015	Nuclear Transfer Derived	Human Pluripotent Stem Cell	Nuclear Transfer Stem Cell	RNA-Seq	200	PRJNA230824	GEO	public	sra	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-07-08	SRP033569
SAMN02742685	sra-sos	sra-sos.public	SRX531147	2014-05-02	3280	2354	SRR1268168	SRS600315	GSM1378016	Nuclear Transfer Derived	Human Pluripotent Stem Cell	Nuclear Transfer Stem Cell	RNA-Seq	200	PRJNA230824	GEO	public	sra	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-07-08	SRP033569
SAMN02742682	sra-sos	sra-sos.public	SRX531148	2014-05-02	5758	4119	SRR1268169	SRS600316	GSM1378017	Nuclear Transfer Derived	Human Pluripotent Stem Cell	Nuclear Transfer Stem Cell	RNA-Seq	200	PRJNA230824	GEO	public	sra	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-07-08	SRP033569
SAMN02742683	sra-sos	sra-sos.public	SRX531149	2014-05-02	3318	2373	SRR1268170	SRS600317	GSM1378018	IVF Derived	Human Pluripotent Stem Cell	Human Embryonic Stem Cell	RNA-Seq	200	PRJNA230824	GEO	public	sra	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-07-08	SRP033569
SAMN02742689	sra-sos	sra-sos.public	SRX531150	2014-05-02	3558	2544	SRR1268171	SRS600318	GSM1378019	IVF Derived	Human Pluripotent Stem Cell	Human Embryonic Stem Cell	RNA-Seq	200	PRJNA230824	GEO	public	sra	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-07-08	SRP033569
SAMN02742687	ncbi		SRX531151	2014-05-02	3767	2694	SRR1268172	SRS600319	GSM1378020	Retro-Virus Derived	Human Pluripotent Stem Cell	induced Pluripotent Stem Cell	RNA-Seq	200	PRJNA230824	GEO	public	sra	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-07-08	SRP033569
SAMN02742694	ncbi		SRX531152	2014-05-02	4978	3549	SRR1268173	SRS600320	GSM1378021	Retro-Virus Derived	Human Pluripotent Stem Cell	induced Pluripotent Stem Cell	RNA-Seq	200	PRJNA230824	GEO	public	sra	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-07-08	SRP033569
SAMN02742690	ncbi		SRX531153	2014-05-02	3034	2161	SRR1268174	SRS600321	GSM1378022	Sendai-Virus Derived	Human Pluripotent Stem Cell	induced Pluripotent Stem Cell	RNA-Seq	200	PRJNA230824	GEO	public	sra	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-07-08	SRP033569
SAMN02742688	sra-sos	sra-sos.public	SRX531154	2014-05-02	3683	2628	SRR1268175	SRS600322	GSM1378023	Sendai-Virus Derived	Human Pluripotent Stem Cell	induced Pluripotent Stem Cell	RNA-Seq	200	PRJNA230824	GEO	public	sra	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-07-08	SRP033569
SAMN02742693	ncbi		SRX531155	2014-05-02	3745	2675	SRR1268176	SRS600323	GSM1378024	Sendai-Virus Derived	Human Pluripotent Stem Cell	induced Pluripotent Stem Cell	RNA-Seq	200	PRJNA230824	GEO	public	sra	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-07-08	SRP033569
SAMN02742691	ncbi		SRX531156	2014-05-02	3523	2522	SRR1268177	SRS600324	GSM1378025	Sendai-Virus Derived	Human Pluripotent Stem Cell	induced Pluripotent Stem Cell	RNA-Seq	200	PRJNA230824	GEO	public	sra	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-07-08	SRP033569
SAMN02742692	sra-sos	sra-sos.public	SRX531157	2014-05-02	3450	2460	SRR1268178	SRS600325	GSM1378026	Tissue	Fibroblast	Human Dermal Fibroblast	RNA-Seq	200	PRJNA230824	GEO	public	sra	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-07-08	SRP033569
